customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST0016,Female,0,No,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,76.97,5569.96,No
CUST0017,Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer,89.68,3223.91,No
CUST0018,Male,0,Yes,No,25,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,56.75,1423.16,No
CUST0019,Female,0,Yes,Yes,38,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,83.91,3211.06,No
CUST0020,Male,1,No,Yes,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,32.38,351.75,No
CUST0021,Female,1,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,101.77,908.8,No
CUST0022,Male,0,No,No,38,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card,48.07,1847.39,No
CUST0023,Male,0,No,No,60,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card,57.48,3450.44,No
CUST0024,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.88,1514.0,No
CUST0025,Female,1,Yes,No,57,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer,57.77,3253.49,No
CUST0026,Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,117.33,1483.04,Yes
CUST0027,Male,0,Yes,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,18.0,613.24,No
CUST0028,Female,0,No,No,45,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card,71.32,3231.05,Yes
CUST0029,Female,0,No,Yes,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,93.45,2424.87,Yes
CUST0030,Male,0,No,Yes,2,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,61.45,132.91,Yes
CUST0031,Male,0,Yes,No,6,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,40.67,262.65,Yes
CUST0032,Male,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,78.72,5253.89,No
CUST0033,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,71.97,3149.01,No
CUST0034,Female,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Credit card,86.47,1734.14,No
CUST0035,Female,0,No,Yes,19,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,86.23,1660.97,No
CUST0036,Male,0,Yes,No,3,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.79,225.22,Yes
CUST0037,Female,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,50.32,3467.13,No
CUST0038,Female,0,Yes,No,8,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer,57.12,450.85,No
CUST0039,Male,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.14,1998.15,No
CUST0040,Female,1,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.92,1546.34,Yes
CUST0041,Male,0,Yes,No,25,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,81.48,2023.35,No
CUST0042,Female,1,No,Yes,20,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,50.97,1050.61,No
CUST0043,Female,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,78.33,4686.32,No
CUST0044,Male,0,Yes,Yes,3,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer,58.33,167.69,Yes
CUST0045,Male,0,Yes,No,26,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,71.84,1828.05,No
CUST0046,Female,0,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,69.12,1433.68,Yes
CUST0047,Male,1,No,Yes,20,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,66.63,1345.5,Yes
CUST0048,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,74.26,1047.66,Yes
CUST0049,Female,0,No,No,66,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,54.53,3613.97,No
CUST0050,Female,0,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.54,980.89,No
CUST0051,Female,0,No,Yes,31,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,54.38,1737.97,Yes
CUST0052,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer,80.52,2235.86,Yes
CUST0053,Male,0,Yes,No,71,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card,57.91,4071.12,No
CUST0054,Male,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,55.91,1371.49,No
CUST0055,Male,0,No,Yes,25,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,64.93,1605.66,Yes
CUST0056,Male,0,No,No,24,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card,89.87,2132.52,No
CUST0057,Female,0,No,No,24,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,75.87,1823.22,No
CUST0058,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card,88.21,648.79,Yes
CUST0059,Female,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,830.49,No
CUST0060,Female,0,No,No,2,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card,51.43,115.47,No
CUST0061,Female,1,No,No,17,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Credit card,48.99,886.36,No
CUST0062,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,65.52,973.89,No
CUST0063,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,51.55,1041.74,Yes
CUST0064,Female,0,Yes,No,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card,74.49,4123.28,No
CUST0065,Male,0,No,No,44,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,61.84,2675.0,No
CUST0066,Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,75.14,5391.2,No
CUST0067,Female,0,No,Yes,26,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,56.05,1470.3,No
CUST0068,Male,0,Yes,Yes,67,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,80.29,5376.87,No
CUST0069,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer,84.82,334.51,Yes
CUST0070,Male,1,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,125.0,4595.48,Yes
CUST0071,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.51,6525.31,Yes
CUST0072,Male,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,113.57,4454.32,No
CUST0073,Male,0,Yes,No,68,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,84.08,5717.94,No
CUST0074,Male,0,No,No,23,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,82.39,1874.21,Yes
CUST0075,Female,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,100.76,271.09,Yes
CUST0076,Male,0,No,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.72,1980.08,No
CUST0077,Male,1,Yes,No,5,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card,101.34,516.51,Yes
CUST0078,Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer,97.28,5456.27,No
CUST0079,Female,0,No,No,53,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,72.72,3834.15,No
CUST0080,Female,0,Yes,No,61,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,70.29,4232.42,No
CUST0081,Female,0,No,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,121.32,4256.7,No
CUST0082,Male,1,No,No,65,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,46.19,2979.91,No
CUST0083,Male,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,123.09,1617.4,Yes
CUST0084,Female,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,86.65,2753.9,No
CUST0085,Female,0,Yes,No,9,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,46.69,395.51,No
CUST0086,Female,1,No,No,56,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,58.46,3277.59,No
CUST0087,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,60.29,3194.02,Yes
CUST0088,Male,1,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,53.77,3191.16,No
CUST0089,Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,71.31,3996.77,No
CUST0090,Female,1,No,Yes,23,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,93.04,2148.89,Yes
CUST0091,Male,0,No,Yes,5,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,92.42,418.32,Yes
CUST0092,Female,0,No,Yes,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer,73.9,4923.24,No
CUST0093,Female,0,No,No,36,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,67.17,2355.35,Yes
CUST0094,Male,0,Yes,No,7,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,66.54,509.03,No
CUST0095,Female,0,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,83.01,5599.85,No
CUST0096,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer,125.0,9009.82,No
CUST0097,Male,0,No,Yes,33,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,86.0,2841.38,Yes
CUST0098,Female,0,Yes,Yes,56,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,67.23,3726.09,No
CUST0099,Female,0,No,No,3,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer,56.99,165.49,No
CUST0100,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,89.23,669.42,Yes
CUST0101,Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.34,890.09,No
CUST0102,Male,1,Yes,Yes,48,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Mailed check,64.46,3079.96,No
CUST0103,Female,0,Yes,No,10,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,95.54,911.45,No
CUST0104,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer,72.84,253.03,No
CUST0105,Female,1,No,Yes,49,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer,50.75,2485.0,No
CUST0106,Female,1,Yes,Yes,56,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,78.66,4361.04,No
CUST0107,Female,0,No,No,54,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,50.96,2728.73,No
CUST0108,Female,0,Yes,Yes,58,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,99.12,5717.02,No
CUST0109,Male,0,No,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card,89.74,5201.63,Yes
CUST0110,Female,1,Yes,No,44,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,57.1,2517.58,No
CUST0111,Male,0,No,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,39.97,1506.28,No
CUST0112,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,59.67,3718.97,Yes
CUST0113,Female,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,54.48,1418.45,No
CUST0114,Male,1,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,81.52,678.72,No
CUST0115,Female,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,71.32,3913.67,No
CUST0116,Female,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,57.28,1221.73,No
CUST0117,Male,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,66.91,4736.5,No
CUST0118,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,18.0,517.42,No
CUST0119,Male,0,Yes,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,24.41,1487.76,No
CUST0120,Male,1,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,68.02,266.81,Yes
CUST0121,Male,0,No,Yes,48,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer,122.86,5854.29,No
CUST0122,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,89.81,2971.09,Yes
CUST0123,Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,54.8,1815.57,No
CUST0124,Male,0,No,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,84.87,1701.44,No
CUST0125,Female,0,No,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,34.77,2400.12,No
CUST0126,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,89.41,2583.36,No
CUST0127,Male,0,No,No,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,61.92,3854.15,No
CUST0128,Female,1,Yes,Yes,31,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,77.61,2463.51,No
CUST0129,Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,70.97,256.93,No
CUST0130,Female,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer,119.21,7625.68,No
CUST0131,Female,1,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.73,496.13,Yes
CUST0132,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,33.8,654.25,No
CUST0133,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,39.07,2404.47,No
CUST0134,Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer,101.42,6612.9,No
CUST0135,Female,0,Yes,No,67,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,73.82,4933.74,No
CUST0136,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,43.8,1414.03,No
CUST0137,Female,0,Yes,No,55,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,64.75,3571.65,No
CUST0138,Male,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,79.65,1886.35,Yes
CUST0139,Male,0,Yes,Yes,54,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,83.35,4491.73,Yes
CUST0140,Male,0,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,98.34,3618.53,No
CUST0141,Female,1,Yes,No,4,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,83.5,354.0,No
CUST0142,Male,0,No,Yes,31,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,67.84,2062.07,No
CUST0143,Male,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,59.08,1975.2,No
CUST0144,Male,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,88.58,1668.23,Yes
CUST0145,Female,0,Yes,Yes,27,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,62.92,1715.91,No
CUST0146,Female,0,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,93.57,3492.92,No
CUST0147,Male,1,Yes,Yes,4,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,43.53,208.63,No
CUST0148,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.19,521.34,No
CUST0149,Female,0,No,No,56,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,44.24,2475.37,No
CUST0150,Male,0,Yes,No,26,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,49.5,1306.87,No
CUST0151,Female,0,No,Yes,44,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,35.66,1540.43,No
CUST0152,Male,1,Yes,Yes,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,86.85,3514.73,No
CUST0153,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,114.97,4609.72,No
CUST0154,Male,0,Yes,Yes,30,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card,87.89,2611.56,No
CUST0155,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,97.58,3413.67,No
CUST0156,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card,125.0,7502.99,No
CUST0157,Male,1,No,Yes,70,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,79.27,5555.1,No
CUST0158,Female,0,Yes,No,19,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,58.23,1129.81,No
CUST0159,Female,0,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.7,1525.1,No
CUST0160,Female,0,No,Yes,70,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,68.01,4765.58,No
CUST0161,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.61,30.61,Yes
CUST0162,Female,0,No,No,57,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,61.95,3533.84,No
CUST0163,Male,1,Yes,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer,89.73,3215.37,No
CUST0164,Male,0,No,Yes,70,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer,90.47,6327.99,No
CUST0165,Male,0,Yes,No,42,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,42.36,1844.57,Yes
CUST0166,Female,0,No,No,61,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,71.27,4352.02,No
CUST0167,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,81.65,991.06,Yes
CUST0168,Male,1,No,Yes,11,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,78.78,848.94,Yes
CUST0169,Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,110.58,7434.36,No
CUST0170,Male,0,Yes,No,38,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,125.0,4769.01,No
CUST0171,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.62,1397.6,No
CUST0172,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,34.52,454.13,No
CUST0173,Female,0,Yes,No,17,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,100.59,1735.88,Yes
CUST0174,Female,0,No,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.72,1785.27,No
CUST0175,Female,0,No,No,22,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card,87.46,1931.2,Yes
CUST0176,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card,78.53,3373.92,No
CUST0177,Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,38.81,914.99,No
CUST0178,Male,0,No,No,19,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,70.22,1311.58,No
CUST0179,Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card,82.72,974.69,No
CUST0180,Female,0,Yes,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,64.88,4345.63,No
CUST0181,Female,0,Yes,No,68,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,72.1,4859.27,No
CUST0182,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,182.69,No
